Identifiant;Enseigne;Adresse;Etat;ACTIVITE;Activité regroupée CCI;commerce zéro déchet;Secteur;ZFU;Quartier Politique de la ville;A vendre, A louer;geo_shape;geo_point_2d;latitude;longitude
604;DEMEYERE COUTURAMA;246 RUE DE LANNOY;OUV;EQUIPEMENT DE LA MAISON;3;O;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.187954054952919, 50.68544790580048]}";50.6854479058,3.18795405495;50.6854479058;3.18795405495
649;;275 GRANDE RUE;DISPO;;;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.189528770374397, 50.69432924161923]}";50.6943292416,3.18952877037;50.6943292416;3.18952877037
671;EVELYNE FLEURS;29 RUE DE CARTIGNY;OUV;FL;4;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.187368930663593, 50.70133883859705]}";50.7013388386,3.18736893066;50.7013388386;3.18736893066
653;AL HAMRA;28 GRAND PLACE;OUV;RT;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.175134273111005, 50.69210790463343]}";50.6921079046,3.17513427311;50.6921079046;3.17513427311
650;FRANCINE TOILETTAGE;278 RUE DE LANNOY;OUV;AUTRES TYPE DE SERVICES;7;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.188883732760027, 50.68489822517653]}";50.6848982252,3.18888373276;50.6848982252;3.18888373276
679;;299 RUE DE LANNOY;DISPO;;8;;EST;O;N;;"{""type"": ""Point"", ""coordinates"": [3.192186059076446, 50.68356919468588]}";50.6835691947,3.19218605908;50.6835691947;3.19218605908
641;LA BULLE DU 27;27 RUE DE L ESPERANCE;OUV;CAFE HOTEL RESTAURANT;6;N;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.167091657444575, 50.69316816879262]}";50.6931681688,3.16709165744;50.6931681688;3.16709165744
611;PHARMACIE DU TRICHON;25 PLACE DU TRICHON;OUV;PH;5;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.168554586749153, 50.68979562551152]}";50.6897956255,3.16855458675;50.6897956255;3.16855458675
624;PHARMACIE GRAND RUE;26 GRANDE RUE;OUV;PH;5;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.176468877684076, 50.692081347243416]}";50.6920813472,3.17646887768;50.6920813472;3.17646887768
667;TISSUS HALLYNCK;29 AVENUE JEAN BAPTISTE LEBAS;OUV;AU;2;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.171245706294632, 50.69228256885597]}";50.6922825689,3.17124570629;50.6922825689;3.17124570629
680;MARMARIS;2B BOULEVARD DE METZ;OUV;RR;6;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.184052501298634, 50.70108722220406]}";50.7010872222,3.1840525013;50.7010872222;3.1840525013
622;CHRISTOPHE FAY COIFFURE;26 AVENUE GUSTAVE DELORY;OUV;CF;5;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.169938941834593, 50.67576726499911]}";50.675767265,3.16993894183;50.675767265;3.16993894183
580;TCHIP COIFFURE;231 AVENUE ALFRED MOTTE;OUV;CF;5;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.195884912988316, 50.67569114162141]}";50.6756911416,3.19588491299;50.6756911416;3.19588491299
647;BOUCHERIE RABAH;27 RUE DE TOURCOING;OUV;BC;1;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173713381787848, 50.70004224125334]}";50.7000422413,3.17371338179;50.7000422413;3.17371338179
646;ROCK ON THE MOON;27 RUE DE L ESPERANCE;OUV;EQUIPEMENT DE LA PERSONNE;2;N;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.167091657444575, 50.69316816879262]}";50.6931681688,3.16709165744;50.6931681688;3.16709165744
609;SERVIZEN;25 GRAND PLACE;OUV;AU;7;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.175320694955577, 50.69155014516738]}";50.6915501452,3.17532069496;50.6915501452;3.17532069496
675;AUTO ECOLE LINNE;294 AVENUE LINNE;OUV;AUTRES TYPE DE SERVICES;7;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.185994670706187, 50.67535247241578]}";50.6753524724,3.18599467071;50.6753524724;3.18599467071
784;DECROIX;40 RUE DE L EPEULE;OUV;EQUIPEMENT DE LA PERSONNE;2;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.162551598524164, 50.69108227773464]}";50.6910822777,3.16255159852;50.6910822777;3.16255159852
711;KEBAP'S;31 TER GRANDE RUE;OUV;restauration rapide;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.177380763021194, 50.692323540237865]}";50.6923235402,3.17738076302;50.6923235402;3.17738076302
791;;41 RUE DE CARTIGNY;OUV;AUTRES TYPE DE SERVICES;;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.187713224984345, 50.701342963908395]}";50.7013429639,3.18771322498;50.7013429639;3.18771322498
750;LA PIZZERIA;36 BOULEVARD DE LA REPUBLIQUE;OUV;RT;6;;NORD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.161068752393127, 50.70150636797747]}";50.701506368,3.16106875239;50.701506368;3.16106875239
737;BROUTTEUX;34 PLACE DE LA LIBERTE;OUV;CAFE HOTEL RESTAURANT;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.17906140211287, 50.69133320764016]}";50.6913332076,3.17906140211;50.6913332076;3.17906140211
704;IL CALDO;31 GRAND PLACE;OUV;RT;6;;CENTRE;O;O;Ouvert à la location;"{""type"": ""Point"", ""coordinates"": [3.174980409301176, 50.69208873224144]}";50.6920887322,3.1749804093;50.6920887322;3.1749804093
699;LE CROISE LAROCHE;302 RUE DE LANNOY;OUV;CAFE HOTEL RESTAURANT;6;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.189704452099772, 50.684466929098065]}";50.6844669291,3.1897044521;50.6844669291;3.1897044521
713;PHARMACIE DU SQUARE;316 RUE DE LANNOY;OUV;PH;5;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.190282525090285, 50.68420963861704]}";50.6842096386,3.19028252509;50.6842096386;3.19028252509
733;ZINO BOUCHERIE;538 RUE DE LANNOY;OUV;BC;1;;EST;O;;;"{""type"": ""Point"", ""coordinates"": [3.191353116488323, 50.683730089325444]}";50.6837300893,3.19135311649;50.6837300893;3.19135311649
755;ADAR AIDE A DOMICILE;36 RUE DU MARECHAL FOCH;OUV;SERVICES A LA PERSONNE;5;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.1735591723948, 50.68988902426031]}";50.6898890243,3.17355917239;50.6898890243;3.17355917239
735;PHARMACIE MUTUALISTE;34 BOULEVARD GAMBETTA;OUV;PH;5;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180864609032883, 50.691370118310346]}";50.6913701183,3.18086460903;50.6913701183;3.18086460903
794;TRADISEC;41 RUE DU BOIS;OUV;SERVICES A LA PERSONNE;5;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.169345662698759, 50.69048832492475]}";50.6904883249,3.1693456627;50.6904883249;3.1693456627
696;GROUPE BD CONSEILS;30 RUE DU BOIS;OUV;AUTRES TYPE DE SERVICES;7;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.169017562350454, 50.69035026858354]}";50.6903502686,3.16901756235;50.6903502686;3.16901756235
731;SALON DE THE EMIRDAG;33 RUE HENRI CARETTE;OUV;CAFE HOTEL RESTAURANT;6;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.171659052943556, 50.69882274260029]}";50.6988227426,3.17165905294;50.6988227426;3.17165905294
777;QUICK HAMBURGER RESTAURANT;4 BOULEVARD GAMBETTA;OUV;CAFE HOTEL RESTAURANT;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180183494588371, 50.691151842069104]}";50.6911518421,3.18018349459;50.6911518421;3.18018349459
781;;4 RUE DU NOUVEAU MONDE;DISPO;SERVICES A LA PERSONNE;8;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.178342169267228, 50.698341542589176]}";50.6983415426,3.17834216927;50.6983415426;3.17834216927
723;NEW LOOK COIFFURE;32 RUE PLUTARQUE;OUV;CF;5;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.183427670549283, 50.698698155231206]}";50.6986981552,3.18342767055;50.6986981552;3.18342767055
744;;35 RUE DE L EPEULE;DISPO;;8;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.162600286461254, 50.69093675414465]}";50.6909367541,3.16260028646;50.6909367541;3.16260028646
743;LE HANOUT;35 RUE DE L ALOUETTE;OUV;ALIMENTAIRE;1;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.163545215296062, 50.693477826728866]}";50.6934778267,3.1635452153;50.6934778267;3.1635452153
695;INFORMATIQUE OCCASION;30 QUAI DE DUNKERQUE;OUV;AU;2;O;NORD;O;N;;"{""type"": ""Point"", ""coordinates"": [3.169137634667654, 50.705200658280155]}";50.7052006583,3.16913763467;50.7052006583;3.16913763467
904;RIO;46 RUE DE L ALMA;OUV;CAFE HOTEL RESTAURANT;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.164314426200148, 50.695805357331736]}";50.6958053573,3.1643144262;50.6958053573;3.1643144262
805;COSY COFFEE;43 RUE DE L EPEULE;OUV;restauration rapide;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.162440338765987, 50.69077074396054]}";50.690770744,3.16244033877;50.690770744;3.16244033877
811;JAQK;44 /29 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.181742116272699, 50.689524855001]}";50.689524855,3.18174211627;50.689524855;3.18174211627
821;BCBGMAXAZRIA;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.181552706485494, 50.68964355120174]}";50.6896435512,3.18155270649;50.6896435512;3.18155270649
880;SOUS SIGNE;44 MAIL LANNOY;OUV;MD;3;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180294760192571, 50.6902778669573]}";50.690277867,3.18029476019;50.690277867;3.18029476019
897;SANDWICH SPEED;44 RUE DU VIEIL ABREUVOIR;OUV;RR;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173620899786787, 50.69292106642605]}";50.6929210664,3.17362089979;50.6929210664;3.17362089979
852;KOOKAI;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180943734983452, 50.690224723118035]}";50.6902247231,3.18094373498;50.6902247231;3.18094373498
876;SEIDENSTICKER;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.181983857830771, 50.689404326658874]}";50.6894043267,3.18198385783;50.6894043267;3.18198385783
862;MAJE;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180866875134719, 50.69028732669145]}";50.6902873267,3.18086687513;50.6902873267;3.18086687513
810;;43B RUE DU CHEMIN DE FER;DISPO;CAFE HOTEL RESTAURANT;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.164522253438458, 50.694483685447054]}";50.6944836854,3.16452225344;50.6944836854;3.16452225344
807;SALON DE THE EL WAFAA;35 RUE DE TOURCOING;OUV;CAFE HOTEL RESTAURANT;6;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173546583243048, 50.70029060762162]}";50.7002906076,3.17354658324;50.7002906076;3.17354658324
817;18CCR81 CERRUTI;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.181717030993954, 50.68920517844662]}";50.6892051784,3.18171703099;50.6892051784;3.18171703099
868;PIERRE CARDIN;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.181381360294722, 50.68981333045349]}";50.6898133305,3.18138136029;50.6898133305;3.18138136029
836;ETAM LINGERIE;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180390035602116, 50.69054469321142]}";50.6905446932,3.1803900356;50.6905446932;3.1803900356
827;CHAUSSURES DE ROUBAIX;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.179499795610541, 50.68983232179112]}";50.6898323218,3.17949979561;50.6898323218;3.17949979561
816;1 2 3;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.1811485184171, 50.69024695292722]}";50.6902469529,3.18114851842;50.6902469529;3.18114851842
801;ENCHANTE;42B RUE DE L EPEULE;OUV;RR;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.162463141048374, 50.69099156517165]}";50.6909915652,3.16246314105;50.6909915652;3.16246314105
842;GUY DEGRENNE;44 MAIL LANNOY;OUV;AU;3;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180236318994203, 50.69066989775734]}";50.6906698978,3.18023631899;50.6906698978;3.18023631899
1010;COIFFURE CHEZ FAYSAL;59 RUE DE L ALMA;OUV;CF;5;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.166151499322468, 50.697411293351635]}";50.6974112934,3.16615149932;50.6974112934;3.16615149932
956;MARMARIS;52 AVENUE DES NATIONS UNIES;OUV;CAFE HOTEL RESTAURANT;6;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.183852461058756, 50.69366426165302]}";50.6936642617,3.18385246106;50.6936642617;3.18385246106
990;;55 RUE DE L EPEULE;DISPO;;8;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.162148747154233, 50.69049011054912]}";50.6904901105,3.16214874715;50.6904901105;3.16214874715
1003;;59 AVENUE ROGER SALENGRO;DISPO;SERVICES A LA PERSONNE;;;EST;N;N;;"{""type"": ""Point"", ""coordinates"": [3.200694344937103, 50.678716602015186]}";50.678716602,3.20069434494;50.678716602;3.20069434494
1015;MUTUEL DE SANTE SOLIDAIRE;6 AVENUE JEAN BAPTISTE LEBAS;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172812596684749, 50.69187599754931]}";50.6918759975,3.17281259668;50.6918759975;3.17281259668
1008;L'ARTISAN;59 BOULEVARD DU GENERAL LECLERC;OUV;ALIMENTAIRE;1;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.178762041251396, 50.69117052226522]}";50.6911705223,3.17876204125;50.6911705223;3.17876204125
937;PIZZA DEL SOL;5 RUE DE LILLE;OUV;RT;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.173826263590279, 50.68757411060448]}";50.6875741106,3.17382626359;50.6875741106;3.17382626359
994;;56 RUE ROLLIN;OUV;;7;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.176962507828787, 50.704541561321285]}";50.7045415613,3.17696250783;50.7045415613;3.17696250783
949;SOLIMA;51 BOULEVARD DU GENERAL LECLERC;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.178357239289516, 50.69102104394618]}";50.6910210439,3.17835723929;50.6910210439;3.17835723929
1023;PANINI'Z;6 RUE LOUIS CATRICE;OUV;CAFE HOTEL RESTAURANT;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.181295852701484, 50.69271906892697]}";50.6927190689,3.1812958527;50.6927190689;3.1812958527
988;ZEEMAN;55 GRANDE RUE;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.178761234058339, 50.69255491435812]}";50.6925549144,3.17876123406;50.6925549144;3.17876123406
967;PHARMACIE VOLTAIRE;52 RUE VOLTAIRE;OUV;PH;5;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.176469131652404, 50.702611595227374]}";50.7026115952,3.17646913165;50.7026115952;3.17646913165
910;;47 RUE NAIN;DISPO;;8;;CENTRE;O;O;Ouvert à la vente;"{""type"": ""Point"", ""coordinates"": [3.170162062502239, 50.693626860260224]}";50.6936268603,3.1701620625;50.6936268603;3.1701620625
987;CREDIT MUTUEL;55 BOULEVARD DU GENERAL LECLERC;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.178525209367163, 50.69109415422891]}";50.6910941542,3.17852520937;50.6910941542;3.17852520937
982;L'ESTRADE;54 RUE DE L EPEULE;OUV;CAFE HOTEL RESTAURANT;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.162161179639452, 50.690682270526075]}";50.6906822705,3.16216117964;50.6906822705;3.16216117964
934;LA PIZZ A PART;5 PLACE DE LA GARE;OUV;RR;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.163999353339168, 50.69515220640196]}";50.6951522064,3.16399935334;50.6951522064;3.16399935334
978;CENTRE DE FORMATION DE L'EUROTELEPORT;54 BOULEVARD DU GENERAL LECLERC;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.177960724249956, 50.689126593621324]}";50.6891265936,3.17796072425;50.6891265936;3.17796072425
1121;TOSCANA;79 GRANDE RUE;OUV;CAFE HOTEL RESTAURANT;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.179918201525434, 50.69274470844911]}";50.6927447084,3.17991820153;50.6927447084;3.17991820153
1129;CHERYL;8 AVENUE JEAN BAPTISTE LEBAS;OUV;CH;2;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172709346735174, 50.69191987166601]}";50.6919198717,3.17270934674;50.6919198717;3.17270934674
1062;CLORIE COIFFURE;66BIS GRANDE RUE;OUV;CF;5;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.179374090235961, 50.692556767579674]}";50.6925567676,3.17937409024;50.6925567676;3.17937409024
1048;PHONE SERVICE;64B GRANDE RUE;OUV;SERVICES A LA PERSONNE;5;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.179238392336621, 50.69253244858585]}";50.6925324486,3.17923839234;50.6925324486;3.17923839234
1126;AUTO CONTROL;7B RUE ISABEAU DE ROUBAIX;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.165759484776316, 50.6959921364734]}";50.6959921365,3.16575948478;50.6959921365;3.16575948478
1144;R DE ROUBAIX;80 BOULEVARD DE LA REPUBLIQUE;OUV;RT;6;;NORD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.160870774120879, 50.702818434505396]}";50.7028184345,3.16087077412;50.7028184345;3.16087077412
1099;CHEZ CHARLOTTE;74 RUE DE L ALOUETTE;OUV;RR;6;O;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.164532866946391, 50.69468115965382]}";50.6946811597,3.16453286695;50.6946811597;3.16453286695
1032;LA NOUGATINE;61 BOULEVARD GAMBETTA;OUV;BO;1;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.181571989690051, 50.69212959632318]}";50.6921295963,3.18157198969;50.6921295963;3.18157198969
1057;BOULANGERIE ARTISANALE;66 RUE DE L EPEULE;OUV;BO;1;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.1618801585310132, 50.69045208082418]}";50.6904520808,3.16188015853;50.6904520808;3.16188015853
1076;EAT AND YOU;7 BOULEVARD DU GENERAL LECLERC;OUV;RR;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.175040049753931, 50.68808934673549]}";50.6880893467,3.17504004975;50.6880893467;3.17504004975
1112;STREET CARTEL;77 GRANDE RUE;OUV;AU;6;N;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.179866905738596, 50.69273806152458]}";50.6927380615,3.17986690574;50.6927380615;3.17986690574
1040;BOULANGERIE PATISSERIE YANIS;63 RUE DE LA PERCHE;OUV;BO;1;;OUEST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.162793140370081, 50.68638924261848]}";50.6863892426,3.16279314037;50.6863892426;3.16279314037
